Property Name,sentence,label
Rhodes Hotel,"'''we booked this hotel in april and visited in late september. the hotel is under remodel- the dining room is closed, there are remodeling supplies all about and the exterior is covered in scaffolding. the breakfast is provided in your room fridge- yogurt, cheese, breads, fruit and tea or coffee. that was actually quite convenient. | the room we had was around the block from the building. there was constant pounding, sanding, banging, singing and cell phone ringing from about 0730 to 1700 each day so do not plan a lie-in or a nap during the day. the receptionist/bell boy/handyman (came to fix our sink drain) said it should be done at november so we would recommend calling before booking. | all that said, the place was dead silent at night, which was grand, and in a most wonderful spot for touristing. very close to parks, tubes, paddington and oxford street. | there are so many hotels in this area, we will look at others the next time we visit.'''",1
Corinthia Hotel London,"'''popped in for coffee, toast and a diet coke - 18 including service. a bit pricey, but not unexpected given style and location of hotel. would use it again, but only if i had too! there is just not much choice in that immediate area.'''",1
The Rembrandt,"'''stayed saturday night. staff friendly. we had a delux room, but it did not really feel luxurious, not much for than one of the big chains. had a night cap drink for two and at nearly 40 decided one was enough. it was clean and tidy, but will stay in one of the other more exclusive boutique hotels for about the same or slightly more. breakfast was a buffet, it was very good though, with every choice of food. showing was a bit hit and miss as the water kept going off.'''",1
The Dorchester,"'''for many years i had fantasised about staying at the dorchester so when the opportunity arose i jumped at it. needless to say, as one of the great british institutions, it is a lovely hotel however it is not fabulous. it has two lovely dining areas /restaurants albeit pricey. | i was extremely disappointed by the rooms! the corridors were creaky and narrow and the rooms pokey. there is no doubt it was tasteful decorated, however i was noisy -if the internal door was not shut and space was tight with a capital t. the double bed was very compact for 2, there was hardly any space to walk around it! very claustrophobic! on a positive note the bathroom was spacious with delicious toiletries and good high pressure hot showers - and it you are a lover of hotel slippers- this one was good quality. | all in all - charming but not worth the price or reputation- that is in the standard rooms. | a word of advise- do not take your car!'''",1
Mondrian London at Sea Containers,"'''stayed here because of a deal on discount site. room very nice, reception staff slow. | everything in room mini bar very very expensive, not sure why hotels do this, as who but a complete idiot buys it??? | coffee in riverside bar very nice. did not have breakfast. | 5 min walk from waterloo past itv building. | cannot really see where this hotel fits in. | tv kept turning itself off. | room looked at a busy building site.'''",1
Mondrian London at Sea Containers,"'''the building is amazing, setting great and excellent location the atmosphere is just what you would expect at a fun and trendy hotel however i was left disappointed from the lack of service from the staff. we arrived at 3:30pm to be told our room was not ready despite check in from 3pm we had to be back out as going to the o2 at 4:30 so upon explaining this to the front desk we were told sorry we are really busy this weekend take a seat and we will let you know when it is ready. half an hour later still nothing we had been left sat in reception... no take a seat in the bar and have a drink on us?! we finally got given our key at 4:15 made our way up to the room which was pleasant enough. breakfast the following morning was ok again great decor and nice food but i found the staff unhelpful did not get offered fruit juice had to ask not refil on tea and coffee despite the restaurant being fairly empty staff just standing around chatting... does not make guests feel very welcome would not stay again after this experience'''",1
The Savoy,"'''i am a frequent traveler and visitor to london, decided to try someplace new. the room was fine, bed comfie, service and staff exceptional, but the lack of turndown service, lack of bedside water bottle, having a decent sized room - especially by london standards, but that looked out on a light well and a tv screen that simply would not stop glowing all night detracted from the exceptional meals and strong service. i would not go back.'''",1
Rhodes Hotel,"'''i got the booking done just a few days before my travel &amp; this was the cheapest deal in that location. frankly speaking i did not expect much. | the good thing about this hotel is its proximity to paddington station. just get off your flight, board the heathrow express, get down at paddington &amp; in a few minutes you will be at the reception of rhodes hotel. the staff is really friendly &amp; helpful. they give you genuine advise about whatever you enquire.. from buying basic amenities to sightseeing &amp; so on. | the room itself was not bad, but was pretty small with just enough space for my bag (i was in a single regular room, do not know about others). basic things like wardrobe, study desk, t.v., hairdryer &amp; coffee maker were all there but squeezed into this tiny place. i was out most of the time so these things did not make much difference to me. the breakfast was pretty basic with cereals, fruits, buttter-jam-toast &amp; unlimited tea-coffee. however, on my second day the serving person was kind enough to provide me with complimentary fried eggs. | so, if you are on a short trip &amp; wanting to stay downtown with easy access to public transport.... go for it!'''",1
The Rembrandt,"'''my husband and i stayed at the rembrandt hotel during our first trip to london. reading the rave reviews we opted for this hotel as opposed to the hilton the rembrandt is a nice simple hotel with the basic amenities. the location is great and quick access to the south kensignton tube. the staff were friendly and the hotel was clean. however i did not get the 4 star feel of this hotel. it could very well be a 3 star plus hotel. the full breakfast was very basic and could have had a wider variety. breakfast was quite uncomfortable as we were place quite close to other patrons similar to a dormitory style feeding session. | the rooms were a nice size. the bathroom was clean but the fittings were old. the walls in this hotel were very thin. you can hear the other guests walking past your room. this was very disturbing, if there is one thing that the rembrandt needs to work on then this would be it. | on the whole it was a pleasant hotel to stay at but i will not return as i missed the elegance and sophistication that the rembrandt lacked.'''",1
The Rembrandt,"'''we stayed there for 9 nights. we arrived early in the morning to get our room as we booked an early check in at 10 am. however, the room was not available but nice tina at the reception desk compensate us with an upgrade from superior to executive. the rest of the reception staff are not pleasent to deal with them. the room was clean but a major con that the walls are thin. the breakfast staff are efficient and the breakfast was great. room 257.'''",1
"Hotel Xenia, Autograph Collection","'''great location between two different tube lines, next to a grocery store with a starbucks. the hotel is very clean, and staff very courteous. my room was unbelievably small for the equivalent of $220 usd, so small that i did not want housekeeping in because i would have to repack for anyone but me to enter! barely room for luggage rack, which i had to request. they have a mat on the bed that says ""luggage here,"" however, i do not like sleeping with my suitcase. breakfast chintzy, so i ate next door at starbucks in the grocery store. i love marriotts and have had good luck with autograph collection, but will not stay here again.'''",1
Apex London Wall Hotel,"'''if i would to highlight the one best place about this hotel it is that it is far enough away from the main city to be very quiet. the front desk was very friendly and they are all wonderful. i wanted a mini-fridge and was not going to use the mini-bar so they just took out all the alcohol that minute so i could use the fridge. the one night they accidentally did restock the fridge front desk i wish i remembered her name came up right away to take it out and was very apologetic. the rooms are very clean and was restocked daily i even had a complaint about the noise because of the cleaning maids making to much noise to early (and it was not their fault the door stop just made a lot of noise) and they adjusted so they would clean that room later so we could sleep in. | the only downsides i could say would be the concierge and the hotel restaurant. in the restaurant you have to (well we had to at least) pay up front 30lbs per person for the meal which is not to pricey as it includes appetizer, main, and desert. i personally did not like anything for an appetizer and my girlfriend did not want desert so i asked if we had to order all 3 courses and could we take some off the tab if we ordered just the main or even replace them with sides (which are not included)? she told me that i could order one course but the price would not change and i was not going to pay that much for just one course with no sides at a hotel restaurant. | | on top of that do your own research for restaurants! the concierge there was no help i mean he would call places that i found to make reservations for us, but he was just doing google searches and came up with the same results i did in my room. i wanted to eat off the beaten path and every night he would say ""i do not know look at convent garden"". | (as a side note when we went to 3 cities in italy every place would recommend places that they would go to eat and out of all the places we only had 1 bad place out of 2 weeks there.) it was very frustrating to find a place as we went during the holidays and every placed was packed. so after a full day (12+hrs) of site-seeing i would have to go back and do research on where to eat for the next day which i wish i really did not have to do.'''",1
45 Park Lane - Dorchester Collection,"'''this hotel is good, but i could not find anything special about it at all. it lacked charm, the personal touch and any feature that would make me remember it. yes it is shiny and new, high tech things in the rooms, tastefully decorated, but for the price it should be. i found the whole place quite 'masculine' in its decor, especially the rooms and downstair bar. not that there is anything wrong with that, but it just did not feel welcoming to me. i had a room over park lane, with a 'balcony' that if you stood on tiptoes or bent right down you could see the park. quite small in size and could have done without having a desk squashed into the corner. | i dined in the restaurant cut and that was an even bigger mystery to me after hearing people rave about it. odd service, we got asked to move tables after they would already brought us bread and water, the sommelier took forever to come and then disappeared, we had two or three different waiters through the course of dinner, the v expensive wagyu beef was nice, but definitely not the best steak in london. it is only memorable to me because i was expecting something amazing and did not get it. | the staff were ok, but not in a stand out way, more i did not really notice them and they did not enhance the stay rather than do anything wrong. | i do not want to sound overly negative because there is nothing really bad with this hotel, but for the money it was underwhelming and there are many other places i would pick in london over this one.'''",1
The Savoy,"'''after saving very hard; i wanted to treat my mum to a ""once in a lifetime"" experience; at the savoy. we did not really want to go in for the formal dining areas, so we opted for a more casual dining experience in the ""thames foyer"". after being seated we were given the menus; i opted for the ""grilled scottish beef sirloin with chunky chips and barnaise sauce"" and my mum the: ""grilled beef fillet burger with bacon, english cheddar and caramelized onion mayonnaise served with chunky chips"". we enjoyed the setting while we waited in anticipation for our main courses. when they arrived it looked quite simply like pub grub. now i understand that we were not in the main dining restaurants and we were not expecting fine dining quality food; but for the price we were paying. we quite simply expected more for our money; especially as the savoy has got a ""supposedly"" exceptional reputation. the main courses tasted average (the chips were slightly undercooked though) and personally i have tasted better (and for a third of the price) at my local pub. we were served by number of different waiters; which seemed quite unprofessional: as if we were an inconvenience to them. it almost seemed as if they needed more direction and communication into their specific roles. the main courses took a while to be cleared; almost as if they would forgotten us. for dessert i had the crispy valrhona chocolate and praline torte with tonka bean ice cream and my mum the caramel hazelnut tiramisu. they were presented in quite an old fashioned way. the chocolate and praline tart tasted wonderful; it had a balance of textures; the sweetness of the praline was balanced out nicely by the bitter chocolate and tonka bean ice-cream. however the tiramisu was not as impressive; the base was soggy (when i think it should have been a crisp base) and the dish was lacking in flavours and different textures. after we had finished our desserts; we felt as if we were being forced out, as the bill was placed in front of us, without us even asking for it. overall i think the setting of the savoy was amazing and since the refurbishment the dcor and features are stunning; but on the other hand i felt as if the staff were very judgmental into whom they gave special treatment too. since being in the hospitality industry myself i think its upsetting that the staff seemed to look down at the average person; who just wanted a special treat and paid over the odds to receive a disappointing experience. i feel that the hotel should take more pride in all of their paying customers and not just the chosen few; after all we are all paying the same price and this experience has seriously affected my views on the reputation of the hotel and what it has to offer.'''",1
"Mandarin Oriental Hyde Park, London","'''i gave this hotel three stars based on price charged versus value received. the price charged for rooms is very high, but there are some problems that could be easily addressed. one is that they charge for wifi - really? you get free wifi at a hampton inn, for heaven's sake. i really felt ""nickled and dimed"" by this. also, they very nicely give you your choice of newspaper hanging on your door in the morning, which is a nice perk, but somewhat expected at this level. the problem is that there was not one on the morning we left. if you are traveling, you would actually have time to read a newspaper, and you did actually pay for the room the night before. also, i asked for a top sheet on my bed twice on two separate days from two separate maids and never got one. | on the plus side, the two restaurants in the hotel are some of the best in london, the location is terrific - especially the hyde park side of the hotel, and generally the service was good - but i am still having trouble getting over the wifi thing (apparently a corporate decision), and it has put me off the whole mandarin oriental chain.'''",1
The Rembrandt,'''stayed 2 nights in business. well located near tube and city center. good full english breakfast. too expensive for the small room i got. be aware of the maid that knocks on the door very early even at check out day''',1
"Mandarin Oriental Hyde Park, London","'''having stayed in other mandarin orientals in my time, to be honest this was a little disappointing, bearing in mind the star rating. to start with the positives, the staff were all very welcoming and courteous. nice sized room, great bar, fantastic location for central london. but. the furniture was a little knocked and tired looking, there also was not any communal lounge area to talk about, so if your meeting people there really is not anywhere unless you go to the bar, which is noisy. another bug bear of mine is that you have to pay for the use of the internet, which in this day and age is absurd; it seems the larger hotels feel that they have the right to charge for this service, where as in smaller hotels its free,'''",1
Mondrian London at Sea Containers,"'''my husband and i stayed at the mondrian hotel last weekend, after purchasing a superior room at a special offer price via secret escapes for my birthday treat and unbeknown to me, he had emailed the hotel to let them know it was a birthday celebration. however, unlike the numerous guests who enjoyed wine, cake and cards delivered to their rooms in acknowledgement of the celebration, he did not even get a reply to his email and not a sign of recognition of my birthday in all the time we stayed | . | nonetheless, we had high expectations of this new luxury hotel which opened its doors on 30th september this year, based in a fabulous location by the river particularly after the all hype and promotional material we had read. | when we arrived we noted that the outside still had a lot of building works going on, and my first thought was, we better not be looking out onto any of that scaffolding! we were greeted by a friendly member of staff who asked us to queue at reception where we would be checked in. this did not take long and we were then escorted to our room which was on the 11th floor, whilst along the way the young guide chatted to us pointing out the various areas of the hotel. | when we stepped into our room we held our breath for the panoramic view of london city as promised on their own website ""all superior rooms feature queen or king beds, custom designed dimmable lighting, bespoke furniture and stunning marble bathrooms indicative of hollywood glamour, complete with malin+goetz amenities. superior rooms also boast some of the hotel's best london views"" well, the hotel was not full but we had a horrible view of a couple of high rise office blocks just outside the window (see the photo we took). | the good bits about the room was the comfortable bed (albeit small we must have had the queen size rather than king) and the bedding was new and fresh thanks heavens we were going to get a decent nights sleep! plenty of lighting and the tv which was mounted on the wall was pretty big. actually, it was mounted too close to the bed so a little uncomfortable to watch not enough thought given to the layout. the lighting all round was in your face and way too intense, we ended up having to switch it off completely because even dimmed right down was still much too bright. | the clothes hanging area (wardrobe) closed with a curtain on a pole, a reflection of the furniture and fittings which are all pretty cheap and tacky and it will not be long before it starts to look shabby. attempts at dramatic effects have been made with low-cost materials and it shows. | the bathroom had a nice shower area, although when in use, the water leaks onto the bathroom floor unless you remember to butt the towel right up to the entrance, and the inch high step between the bathroom and bedroom has you stubbing your toe each time you walk in and out. | the toiletries are generous but not luxurious, very mediocre. | | the tea tray included 2 large mugs and a kettle, also some small sachets of really rank fair-trade instant coffee, sugar sachets and two teabags really, what a poor effort, why bother? for a moment i thought we were in a travelodge! prices of anything on the room menu however, were very much indicative of a 5 star hotel! | the room telephone did not work because it needed to charge! | buffet breakfast was included in the price the next day and we made our way to the restaurant which was not busy although there were more than enough staff milling about. we were given a menu when we registered our names and room number before sitting down. a choice of anything from the table including cereals, fruit, yogurt, cheeses and ham, toast etc. and then either two eggs, bacon and eggs or sausage and eggs. condiments on the table included a small open dish with salt flakes (how unhygienic!) and i had to grab a pepper grinder from another table. you could have your eggs any style and although we chose scrambled, i think they had started out as an omelette and were stirred at the last minute. it was probably one of the worst breakfasts we have eaten in a london hotel although thankfully the coffee was much better than the instant rubbish offered in the rooms and i imagine the river view from the restaurant would be absolutely stunning on a hot summers day with the bi-fold doors open. the furniture in the restaurant again was very cheap looking and uncomfortable to sit for too long. | summing up this hotel - its in a good location - the favourite areas like covent garden, theatre land etc are close by, its new and the staff are friendly and eager - it would naturally appeal to the younger crowds. a huge effort has been made in promoting it but our own experience was very disappointing, we have stayed in some fabulous 5* hotels all over london and by comparison, this one does not even come close. | i cannot imagine it ever reaching luxury standard not even when all the teething problems have been ironed out and would rate it as a quirky 3* and not to everyone is taste by any means. one nights stay was more than enough for us; sadly we will not be rushing back to visit that particular establishment again.'''",1
Mondrian London at Sea Containers,"'''for me, this was not a five star hotel. check in was brisk but no one offered to take our bags to our room or even show us where it was or where the lifts were. our room was a disabled one, i presume, as i would asked to have a room that adjoined our (grown up) sons. that was fine except the shaving mirror was at hip height and placed for some strange reason in front of the sink so you could not reach the sink properly and when i put make up on i had to do it on my knees! we only had one dressing gown and one bottle of water even though there were two of us staying. the aircon was noisy and woke me up. the view from our room was straight into a load of offices. | having said that, the public areas in the hotel, bars, etc were great, interesting and fun. | it was let down badly by the lack of service though. when we checked out we asked if we could pick up our bags later (yes) so we would left them in our room as we normally do. we were asked to go and fetch them and bring them to the reception, which i refused to do. it was things like this that let it down.'''",1
The Rembrandt,"'''this hotel was absolutely average in every way. the room was fine, loud, but fine. the service was decent, decor was nothing to write home about. we had a few issues with the you.s. outlet and the internet, but they were quickly resolved. the breakfast that was included in our package was really outstanding, however, which made this worth our while. the location was great too...just a short walk to the underground and lots of places to grab dinner and drinks in the area. we used to hotel bar a few nights are were generally happy with the service and drinks there as well. | stay here if you can get a good rate that includes breakfast, and you are going to be sightseeing all day anyway. that is what we did and were happy. we just needed a place to rest our heads, and this was it.'''",1
London Guest House,"'''found the staff very polite and helpful nothing was a problem. rooms not too spacious but clean and given we stayed when london was experiencing sub zero temps very warm. | this is a b&amp;b hotel so no frills - you are restricted to your room once in the building. | breakfast was help yourself to cereals bread fruit etc no full english. | fairly near to the tube and main line services into city. | you would not want to spend a week here as no real comfort area to relax in, | cheap and cheerful is expression to best describe this venue. | would recommend with warning do not expect too much.'''",1
"Mandarin Oriental Hyde Park, London","'''i stayed here on a business trip. first impressions were not great as the doorman was nowhere in sight when my cab arrived so i lugged my bag in myself. while some people might like the fact that the reception person comes with you to your room to get the forms signed etc (i presume this is usual?) i did not. a nice touch though was that a complimentary tray of coffee and biscuits was sent to the room after my arrival (which had been early morning following an overnight flight). | i found the room somewhat stuffy - i usually like a classical theme but it somehow did not work for me. i had no view of anything except concrete, and i did not like the fact that i did not have a separate shower. there was also a lot of noise from the passage. on the other hand, the amenities were good, i liked the complimentary bottles of water and apple juice, toiletry/vanity stuff of expected quality etc. | all in all i had a pleasant enough stay here, but felt it did not quite live up to what i would have expected - the mandarin in nyc was much nicer i thought.'''",1
The Rembrandt,"'''this is my second stay at the rembrandt, my first review rated the hotel excellent, this review not so good. i requested a room facing the street and victoria and albert museum, i requested the room 6 months in advance. upon check in the clerk informed me that they did not have a room for me thati requested. i had prepaid for my room. i was asked to change rooms after one day. i really did not want to unpack and pack ,again. i asked the desk clerk why the other guests were not told to move for me and she looked like i had 2 heads,she became rude. since i had pre pay and there is refund,what was i to do. but as soon asi got to room 332,i became very mad. it had to be the smallest room in the hotel with a view of heating/cooling pipes. then figured it out, i pre paid with no refund,they could putin any crummy room they want. i have again pre paid for 2 rooms in november, i just wonder how bad those will be, but since i cannot cancel i will have to stay. i do not recommend this hotel because oft their shady practices.'''",1
Rhodes Hotel,"'''my boyfriend and i stayed at the rhodes hotel in september 2006. it came highly recommended by a colleague and the reviews on trip adviser were fantastic. the hotel is around a 5 minute walk from paddington station. we caught the heathrow express to paddington so we found the location very handy. we paid 75 pounds a night for our room, which included taxes and breakfast. chris was lovely and made us very tasty scrambled eggs for breakfast each morning. the room was a decent size for london, however the bathroom and shower were tiny. i understand that hotel rooms in london are very small, so i guess this is to be expected. the interior of the hotel is a little run down and in need of an update. however the outside is lovely. the rhodes hotel is within walking distance of hyde park and there is a bus stop right outside paddington station that will take you to the main attractions. however, i do not think i would stay at this hotel in the future. call me fussy =)'''",1
Newham Hotel,"'''when booking i was worried if it is clean and what is the location.. | location - by taxi from london city airport - about 20 min - just 14pounds | the staff is very friendly and will attempt to help you with your enquiries - so ask! | but check how they require your payment and when | the hotel is located not far from green street ( where a lot of asian food and shops are) | if you are looking for a european restorant /cafe - mcdonalds is just 5 min away from teh hotel. we could not find any other cafes around to eat maybe we were just too tired. | breakfast is served with the english breakfast and cereals - but as it is a low budget hotel the food is teh appropriate quality - the papermadeof sausage i could not eat. | for the second day our room was left untouched - no cleaning, changing towels,etc.. | to get to the central london - by bus n25 - just 1 pound per trip - it goes right to oxford circle - a bit long - over 1 hour - but thus you are doing a bit of a sightseeing!'''",1
The Dorchester,"'''we have been visiting the dorchester for more than twenty-five years and have always been very impressed by the level of service. this visit was a distinct disappointment. | we typically book a suite and this vist was no exception. we had booked our suite two months in advance and received an received an acknowledgement. when we arrived we were told that our suite was not ready and they had now idea when during the week we had booked, it would become available. we were offered an ""upgrade"" to their audley penthouse but since we had already stayed in one of their other penthouses on a previous vist and were not happy with it, we declined the offer. finally at 5 pm the guest relations manager who was helping us finally came up with a dorchester suite. ( i have no idea what machinations he had to go through, but he was very helpful. he even comped us to dinner at the grill room.) i was upset that we did have a confirmed reservation, i had been in touch with the hotel earlier in the week about particular amenities, and still they could not provide room we reserved with a big fuss on our part. | since this was a business trip, we were traveling with two i-phones, a laptop and an i-pad. i was told by the e-butler that in addition to the normal twenty+ pound internet charge i would have to pay separate chages for wi-fi for each device. he told me that i could probably argue with the management to avoid these additional charges. interestingly enough, when i did try the wifi connection for my i-pad, it did not work. he then acknowledged that wi-fi connectivity was a problem in this part of the building, i.e. a corner suite. | room service was extremely disappointing. our first morning we ordered an omlet and oatmeal. both were cold. the next morning my husband ordered muelsli it it was good but the portion was miniscule. we ordered proper brewed tea and pumpkin muffins and were served bag tea and some other kind of unwarmed muffins. we had wanted to have a tea with friends in their promenade. we could not get reservations so i ordered room service for five. the offered two pots of tea for five people and inadequate sandwiches. we also seemed to have a ""splenda"" crises. every time they served us tea or coffee, only three small sacks of splenda were offered. it felt like we were going through rationing in wartime london. | i did write a letter to the manager the day before we left telling him about our disappointmet. in addition, i filled out their form asking someone is guest relations to contact me with via e-mail or cell phone. i have not received any contact from the dorchester.'''",1
Hartley Hotel,"'''it was just 1 night there but honestly the reception staff are very good and helpful ,rooms very small but clean . | in general i will never go back there because the level of other guests there . | you feel it is may be dangerous at night.'''",1
The Savoy,"'''there is always a bit of a fantasy that one hopes to experience as a guest, a bit of a little white lie that we tell ourselves: that we are a special guest to the hotel. as guests we want to forget that there have been hundreds, thousands before us. the savoy fails miserably in providing one with this sense of uniqueness. the hotel room we were in had a side table that looked as if it had been kicked around by a rugby club. the marble in the bathroom was stained by liters of water that had been left standing on it for days on end. the tiny room was overall uninviting. you just felt like a fool for having agreed to plunk down so much money for the ""experience.""'''",1
The Savoy,"'''top notch service, the staff cannot do enough for you. | everything about the building and staff was perfect. | the only thing that let the hotel down is that even if you are a resident you have to join a waiting list to get into the bar. | this means that people can walk in off the street and enjoy a drink while residents have to go to their room and call room service for a drink. | i have stayed in budget hotels in the past and have been able to get a drink at the bar so why when i pay about 400 (cannot remember the exact amount) per night at the savoy can i not do this simple thing? | for this reason we will not be visiting the savoy again.'''",1
